City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.04,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Mataura,NZ,66.47,light rain,-46.1927,168.8643,Ellie's Villa
7,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
8,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
11,Bredasdorp,ZA,69.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
17,Coquimbo,CL,67.44,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
19,Saldanha,ZA,69.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
21,Cidreira,BR,75.52,few clouds,-30.1811,-50.2056,Hotel Castelo
22,Sao Filipe,CV,76.17,overcast clouds,14.8961,-24.4956,Hotel Xaguate
25,Port Alfred,ZA,77.11,light rain,-33.5906,26.891,The Halyards Hotel
27,East London,ZA,76.14,broken clouds,-33.0153,27.9116,Tu Casa
28,Waingapu,ID,77.49,few clouds,-9.6567,120.2641,Pondok Wisata Elim
32,Bluff,NZ,66.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
38,Cape Town,ZA,73.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Amli,IN,68.43,clear sky,20.2833,73.0167,Hotel Soubhagya Inn
43,Atuona,PF,78.42,light rain,-9.8,-139.0333,Villa Enata
49,Fort Myers Beach,US,76.05,few clouds,26.452,-81.9481,Lani Kai Island Resort
52,Pisco,PE,78.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
53,San Patricio,US,71.19,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
55,Hilo,US,72.63,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Mananjary,MG,75.24,light rain,-21.2167,48.3333,Vahiny Lodge
62,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
63,Eltham,NZ,65.68,overcast clouds,-39.4292,174.3,Stonewall House Bed & Breakfast
65,Busselton,AU,61.05,broken clouds,-33.65,115.3333,Observatory Guest House
67,Kapaa,US,68.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
71,Nishihara,JP,64.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
72,Hermanus,ZA,72.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Ngunguru,NZ,70.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
81,Barillas,GT,79.14,clear sky,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
83,Parakou,BJ,79.29,clear sky,9.3372,2.6303,Benin Metropole Hotel
85,Kavieng,PG,78.49,light rain,-2.5744,150.7967,Nusa Island Retreat
87,Maningrida,AU,77.43,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
89,Mwinilunga,ZM,63.36,moderate rain,-11.7358,24.4293,Kwakuwahi Lodge
92,Kaitangata,NZ,60.1,light rain,-46.2817,169.8464,Kaitangata Motor Camp
93,Katobu,ID,75.47,overcast clouds,-4.9408,122.5276,La Ode Husein
95,Praia Da Vitoria,PT,61.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
98,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
106,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
108,Clarksdale,US,68.16,overcast clouds,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
113,Kareli,IN,62.13,clear sky,22.9167,79.0667,बस्ती तालाब Pond
117,Tarakan,ID,79.97,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
119,Huarmey,PE,76.05,overcast clouds,-10.0681,-78.1522,Hotel Miramar
120,Otane,NZ,69.01,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
121,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
123,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
125,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,ibis Balikpapan
126,Gushikawa,JP,63.99,overcast clouds,26.3544,127.8686,Kirari Guest House
127,Dingle,PH,73.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Moree,AU,77.02,light rain,-29.4667,149.85,Molika Springs Motel
135,Alofi,NU,69.69,clear sky,-19.0595,-169.9187,Taloa Heights
141,Flinders,AU,73.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
144,Dwarka,IN,71.73,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
146,Baudh,IN,62.49,clear sky,20.8416,84.3213,Hotel Parijat Palace
148,Saint-Philippe,RE,78.35,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Te Anau,NZ,63.45,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
152,Tuatapere,NZ,66.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
157,Pak Phanang,TH,78.1,overcast clouds,8.3511,100.202,Green Park Inn Hotel
160,Kruisfontein,ZA,75.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
163,Ternate,ID,79.27,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
165,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
170,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
173,Lorengau,PG,78.78,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
175,Ponta Do Sol,PT,67.01,clear sky,32.6667,-17.1,Hotel do Campo
176,Guerrero Negro,MX,63.41,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
178,Castro,BR,79.14,clear sky,-24.7911,-50.0119,CHACARA BAILLY
179,Kampot,KH,78.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
180,Rincon,US,68.18,scattered clouds,32.296,-81.2354,Days Inn Rincon
181,Port Blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Victor Harbor,AU,61.81,broken clouds,-35.5667,138.6167,McCracken Country Club
183,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
186,Yaring,TH,76.33,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
187,Kupang,ID,79.52,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
191,Omboue,GA,78.8,light rain,-1.5746,9.2618,Hotel Olako
192,Conceicao Do Mato Dentro,BR,76.96,overcast clouds,-19.0372,-43.425,Hotel Vista Inn
196,Meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
198,Talcahuano,CL,63.27,clear sky,-36.7167,-73.1167,departamento comodo
202,Pamekasan,ID,77.34,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
211,Constitucion,CL,68.13,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
217,Kahului,US,70.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
220,Magnolia,US,67.68,overcast clouds,33.2671,-93.2393,Budget Inn
224,Umtata,ZA,73.96,broken clouds,-31.5889,28.7844,LLZZ Boutique Lodge
225,Whitianga,NZ,69.03,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
227,San Policarpo,PH,78.13,overcast clouds,12.1791,125.5072,Agapita M. Nicart
233,Port Macquarie,AU,75.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
238,Falefa,WS,71.49,light rain,-13.887,-171.588,Leuaina Beach Resort and Spa
241,Lompoc,US,65.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
