City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.43,75,95,10.83,overcast clouds
1,Georgetown,MY,5.4112,100.3354,82.89,86,20,5.01,few clouds
2,Rikitea,PF,-23.1203,-134.9692,78.04,70,100,7.25,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,66.47,69,100,5.59,light rain
4,Mookane,BW,-23.688,26.6595,76.21,54,8,5.95,clear sky
5,Vestmanna,FO,62.1564,-7.1664,31.12,74,75,11.5,light snow
6,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,75,10.36,broken clouds
7,Katherine,AU,-14.4667,132.2667,77.32,78,66,8.05,broken clouds
8,Victoria,HK,22.2855,114.1577,61.25,90,100,5.01,overcast clouds
9,Sitka,US,57.0531,-135.33,31.89,80,75,0.0,broken clouds
10,Hasaki,JP,35.7333,140.8333,30.6,51,0,18.52,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,69.28,73,1,2.86,clear sky
12,Glendive,US,47.1053,-104.7125,8.69,61,0,14.97,clear sky
13,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,5.75,light snow
14,Chokurdakh,RU,70.6333,147.9167,-21.51,98,100,1.59,overcast clouds
15,Albany,US,42.6001,-73.9662,35.94,48,24,1.99,few clouds
16,Berdigestyakh,RU,62.0989,126.6992,-18.36,96,100,7.87,overcast clouds
17,Coquimbo,CL,-29.9533,-71.3436,67.44,74,99,5.06,overcast clouds
18,Port Hedland,AU,-20.3167,118.5667,80.65,94,100,3.44,overcast clouds
19,Saldanha,ZA,-33.0117,17.9442,69.85,95,22,8.34,few clouds
20,Hofn,IS,64.2539,-15.2082,23.72,55,11,5.95,few clouds
21,Cidreira,BR,-30.1811,-50.2056,75.52,64,20,9.82,few clouds
22,Sao Filipe,CV,14.8961,-24.4956,76.17,70,100,5.88,overcast clouds
23,Barrow,US,71.2906,-156.7887,-14.78,70,100,3.44,haze
24,Airai,TL,-8.9266,125.4092,59.61,84,89,3.53,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,77.11,83,100,9.31,light rain
26,Ginda,IN,30.6945,78.4932,38.01,33,0,6.13,clear sky
27,East London,ZA,-33.0153,27.9116,76.14,88,75,8.05,broken clouds
28,Waingapu,ID,-9.6567,120.2641,77.49,82,12,9.4,few clouds
29,Nikolskoye,RU,59.7035,30.7861,26.49,99,100,2.42,light snow
30,Husavik,IS,66.0449,-17.3389,13.91,79,34,13.31,scattered clouds
31,Almeria,ES,37.1667,-2.3333,50.43,67,0,0.76,clear sky
32,Bluff,NZ,-46.6,168.3333,66.79,80,100,9.31,overcast clouds
33,Upernavik,GL,72.7868,-56.1549,-16.47,75,100,6.44,overcast clouds
34,Longyearbyen,SJ,78.2186,15.6401,21.04,68,40,14.97,scattered clouds
35,Tasiilaq,GL,65.6145,-37.6368,10.56,70,100,5.93,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,47.82,87,100,33.38,moderate rain
37,Punta Arenas,CL,-53.15,-70.9167,53.62,50,40,39.12,scattered clouds
38,Cape Town,ZA,-33.9258,18.4232,73.11,74,20,1.01,few clouds
39,Amli,IN,20.2833,73.0167,68.43,58,0,3.22,clear sky
40,Buala,SB,-8.145,159.5921,80.28,83,100,5.86,overcast clouds
41,Talnakh,RU,69.4865,88.3972,6.21,96,100,9.24,light snow
